Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_12_02_Run-03_24Aug12_Eagle_12-06-09	0	0	15.4276	40.5766	35.28	49.79	24.53	26.53	56.83	5.884	7	271	2715	1.417	1.098	0	0	798.7481	0.020134	0.384787	0	0.5135	50.83	68764	15.072	2.77E+05	-0.051364	0.227459	-27.761	-27.633	37.745	130.65	848	0.0212	0.1394	0.1752	0.2172	7.27	-7.267	1226	1088	1015	0.02266
QC_Shew_12_02_Run-03_4Sep12_Eagle_12-01-12	0	0.000766	12.9137	50.4116	39.47	56.63	32.76	26.29	66.52	6.138	5.8	224	2242	1.448	1.109	0	0	872.2817	0.023887	0.394137	0	0.4	35.94	92403	15.133	305401	-0.030201	0.230153	-15.087	-15.01	41.272	114	855	0.01	0.0993	0.213	0.2435	7.18	-7.179	1284	1141	1056	0.014205
QC_Shew_12_02_Run-03_5Dec12_Lion_12-10-03	0.049438	0.004494	11.7101	18.8726	52.94	86	24.29	31.53	62.63	4.364	2.75	397	1695	1.711	1.1	59	58	832.4179	0	0.449511	0	10	3.164	5.65415	90.001	65405	-0.021698	0.255109	-12.287	-11.121	100	51.67	645	0.0163	0.0661	0.1087	0.2072	7.14	-7.141	437	217	204	0.004902
QC_Shew_12_02_Run-03_5Sep12_Eagle_12-06-09	NULL	NULL	0	NULL	35.34	30.86	40.85	45.17	63.76	0	0	0	0	0	0	6	17	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.92	-5.917	0	0	0	0
QC_Shew_12_02_Run-03_7Dec12_Lion_12-10-03	0.000658	0.000658	19.8582	38.1706	48.37	55.73	38.08	40.51	56.23	4.995	5.132	398	3911	1.598	1.154	5	7	798.1506	0.007188	0.357592	0	0.069	54.465	416015	22.001	1916000	-0.085678	0.264342	-45.172	-44.987	5.197	125.5	818	0.0998	0.1267	0.1562	0.1984	7.53	-7.527	1488	1265	1191	0.020991
QC_Shew_12_02_Run-03_8Dec12_Lion_12-10-03	0.000584	0.003503	19.7603	43.3698	52.87	59.83	32.3	47.99	60.07	4.323	5.341	395	3890	1.653	1.189	4	4	826.9701	0.007235	0.369775	0	10	37.41	220560	28.131	1.39E+06	-0.046446	0.261305	-25.376	-25.311	6.928	122.65	835	0.1176	0.1617	0.1775	0.2366	7.66	-7.661	1683	1389	1289	0.017843
QC_Shew_12_02_Run-04_12Dec12_Lion_12-10-04	0.003369	0.004717	23.1543	31.5708	66.35	79.29	50.06	39.73	79.74	3.601	4.953	460	4568	1.672	1.201	12	10	786.399	0.008227	0.348263	0	0.061	48.75	588525	17.172	1993800	-0.058554	0.253369	-32.647	-32.647	5.229	118	760	0.0891	0.1253	0.1452	0.18	7.47	-7.471	1443	1128	1038	0.014451
QC_Shew_12_02_Run-04_13Dec12_Lion_12-10-04	0	0.000755	21.262	30.7121	58.71	63.57	22.1	61.37	62.38	3.718	3.232	416	4128	1.753	1.251	76	75	740.3755	0.013346	0.248808	0	10	61.88	269540	19.038	1.92E+06	-0.065175	0.262875	-42.262	-42.203	5.399	140.4	752	0.1043	0.1295	0.1382	0.1946	7.67	-7.666	1285	988	915	0.019672
QC_Shew_12_02_Run-04_30Aug12_Eagle_11-10-18	0.000558	0.001673	16.3763	54.53	34.83	49.67	31.57	24.84	55.86	5.099	5.575	285	2853	1.445	1.098	0	0	864.9512	0.040031	0.340262	0	0.329	45.485	88827.5	11.81	313514	-0.009601	0.222365	-4.407	-4.336	38.383	125	843	0.0122	0.1878	0.2615	0.2891	7.35	-7.349	1750	1499	1385	0.020939
QC_Shew_12_02_Run-04_4Sep12_Eagle_11-10-18	0	0.000801	15.9223	39.2531	48.32	66.89	43.99	31.23	71.84	5.168	5.962	276	2769	1.488	1.139	0	0	845.4859	0.019629	0.342421	0	0.324	33.94	92859	10.623	303059	-0.011511	0.222462	-5.96	-5.454	39.565	99.2	868	0.0076	0.1296	0.1822	0.2102	7.15	-7.154	1229	1052	975	0.018462
QC_Shew_12_02_Run-04_5Dec12_Lion_12-10-04	0.051587	0.011905	16.4279	7.609	48.87	63.56	17.77	33.47	68.46	6	1.222	1916	1622	1.81	1.103	38	43	839.5579	0	0.909091	0	10	0	0	66.528	44961	-0.042735	0.255765	-19.133	-18.083	100	40.49	553	0.0062	0.0133	0.0595	0.1402	6.96	-6.964	245	108	99	0.020202
QC_Shew_12_02_Run-04_6Dec12_Lion_12-10-04	0.041667	0	22.6982	7.9742	56.14	59.77	42.46	87.77	73.33	5	3.286	408	4018	1.546	1.163	7	8	810.7706	0	0.411765	0	3.833	12.27	9116.75	209.211	384343	-0.018199	0.261139	-14.083	-13.767	32.653	65.38	748	0.0102	0.0369	0.0373	0.0751	6.96	-6.962	357	176	163	0.006135
QC_Shew_12_02_Run-04_7Dec12_Lion_12-10-04	0.003836	0.001279	20.1316	38.8444	48.31	54.83	34.32	39.3	59.82	4.934	5.351	416	3947	1.59	1.149	4	5	796.1763	0.006987	0.358952	0	0.075	51.09	380420	23.356	1757050	-0.076904	0.272411	-42.365	-42.363	5.538	126.6	820	0.1001	0.133	0.1625	0.2102	7.54	-7.538	1534	1284	1205	0.021577
