Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_12_02_Run-04_3Aug12_Roc_12-04-09	0	0.005089	19.3867	10.1616	6.58	6.46	6.4	7.13	7.55	12.76	5	1088	3265	1.103	1.03	21	20	907.8168	0.007752	0.515504	0	0.043	104.25	647310	1.00E+38	0.00E+00	0.020229	0.246551	8.674	9.027	3.681	105	871	0.0501	0.0643	0.0537	0.0637	6.09	-6.088	387	351	345	0.017391
QC_Shew_12_02_Run-04_4Sep12_Roc_12-04-09	0.000508	0.012183	22.6129	43.6034	21.02	21.36	15.77	18.05	21.82	6.859	5.781	827	2482	1.684	1.181	0	0	817.4146	0.025778	0.562667	0.149333	2.124	588.15	2001450	104.06	1.39E+07	0.006275	0.009262	3.16	3.162	5.739	122.4	855	0.2379	0.3235	0.3325	0.3932	9.96	-9.96	1925	1652	1484	0.022237
QC_Shew_12_02_Run-05_20Jul12_Roc_12-03-29	0.00158	0.016199	23.5567	53.7427	18.41	18.72	14.29	18.59	18.45	4.85	4.651	681	4029	1.744	1.174	0	0	837.4535	0.031735	0.542201	0.12154	1.533	319.8	1268400	1.30E+02	7214900	0.003629	0.010715	1.875	1.877	5.221	109.05	818	0.187	0.2643	0.2782	0.3404	8.75	-8.752	2459	1967	1765	0.030028
QC_Shew_12_02_Run-05_21Aug12_Roc_12-03-30	0.000525	0.011549	23.5303	40.501	20.99	21.51	17.63	17.62	21.98	6.125	4.381	855	2564	1.722	1.16	0	0	813.9517	0.026432	0.522467	0.118062	1.762	264.4	1022900	140.015	8.47E+06	0.002804	0.008846	1.505	1.505	4.771	110.15	802	0.2395	0.311	0.313	0.3876	9.67	-9.665	1868	1518	1365	0.017582
QC_Shew_12_02_Run-05_23Aug12_Roc_12-03-29	0.000684	0	24.8329	29.5173	18.21	18.7	15	15.39	19.79	7.035	5.76	901	2704	1.679	1.138	0	1	809.4007	0.020474	0.434267	0.110991	3.937	258.7	441620	44.733	5.02E+06	0.005164	0.008414	2.727	2.734	5.876	85.78	919	0.1525	0.2597	0.2652	0.3356	9.21	-9.206	1439	1288	1174	0.019591
QC_Shew_12_02_Run-05_25Aug12_Roc_12-03-29	0	0.001339	16.7641	22.3692	17.69	18.73	10.7	15.44	19.89	9.5	7.25	609	1827	1.712	1.136	84	82	844.4648	0.068465	0.385892	0.085062	2.738	215.2	5.85E+05	67.518	8.23E+06	0.032264	0.035091	17.338	17.348	3.249	82.47	1425	0.0177	0.1263	0.1815	0.2492	6.94	-6.94	732	654	612	0.022876
QC_Shew_12_02_Run-05_25Jul12_Roc_12-03-29	NULL	NULL	0	NULL	2.48	2.48	NULL	2.48	NULL	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.11	-6.115	0	0	0	0
QC_Shew_12_02_Run-05_27Jul12_Roc_12-03-29	0	0.012033	23.3715	33.8019	17.88	18.53	14.64	17.73	18.59	6.455	6.5	538	1608	1.622	1.141	0	0	759.0615	0.01601	0.688424	0.211823	2.329	352	847230	71.255	1.26E+07	0.004719	0.008281	2.478	2.482	4.503	224.75	989	0.3347	0.4163	0.4014	0.4768	10.95	-10.955	1550	1353	1185	0.020253
QC_Shew_12_02_Run-05_28Aug12_Roc_12-03-29	0	0.001305	21.6934	17.7012	18.62	18.72	14.89	14.95	19.79	9.6	20	788	2366	1.65	1.157	0	1	668.5952	0.004367	0.489083	0.157205	1.547	239.3	1146800	72.206	1.47E+07	-0.001202	0.007207	-0.707	-0.684	2.255	113.6	1190	0.0576	0.0958	0.1372	0.205	7.26	-7.261	755	669	637	0.017268
QC_Shew_12_02_Run-05_30Aug12_Roc_12-03-29	0	0.006015	23.0115	14.471	18.64	18.71	14.89	17.77	19.76	10	8.333	836	2509	1.669	1.156	0	0	664.9674	0.009662	0.44686	0.128019	1.679	436.45	1529400	99.731	1.91E+07	0.001814	0.00684	1.044	1.058	2.261	64.45	1312	0.0468	0.0859	0.1147	0.1788	7.27	-7.268	656	579	554	0.016245
QC_Shew_12_02_Run-05_30Jul12_Roc_12-03-29	0	0.010137	23.7303	41.5924	17.78	18.24	14.56	14.3	18.67	6.199	5.158	862	2586	1.684	1.151	0	0	793.4345	0.019284	0.614325	0.161616	1.9	285.6	933085	129.078	9.42E+06	0.002479	0.007884	1.288	1.291	4.771	136.5	801	0.2191	0.3161	0.3444	0.43	9.56	-9.561	1937	1630	1447	0.020733
QC_Shew_12_02_Run-05_4Sep12_Roc_12-03-29	0.000466	0.011639	22.9316	46.8785	18.55	19.64	14.75	17.47	19.7	6.018	6.222	839	2516	1.686	1.174	1	1	813.9291	0.02124	0.628717	0.159728	2.079	590.4	2076800	104.1	1.53E+07	5.71E-03	0.009254	2.879	2.88	5.455	131.5	854	0.281	0.3429	0.3657	0.4104	10.27	-10.271	2095	1814	1599	0.025641
QC_Shew_12_02_Run-05_7Sep12_Andromeda_12-08-11	0	0	0.0235	85.1064	40.03	48.31	10.06	43.45	47.95	0	0	1	3	1.211	1.129	5	5	746.196	0	0	0	17.149	38.31	56255	1	168871	0.028044	0.028044	21.503	21.503	30.474	74.43	931	0.0022	0.0022	0	0	5.51	-5.514	2	2	2	0
QC_Shew_12_02_Run-05_8Jul12_Roc_12-03-29	0.002263	0.010562	23.6082	56.2093	17.96	18.28	14.5	18.32	18.31	5.13	4.232	675	3983	1.845	1.203	0	0	860.4159	0.042169	0.469277	0.078313	3.149	571.9	1061400	122.654	6502800	0.007724	0.011409	3.885	3.885	9.908	123.8	889	0.148	0.2658	0.3115	0.3952	8.88	-8.878	2582	2059	1851	0.029714
QC_Shew_12_02_Run-06_18Jul12_Roc_12-03-30	0.002336	0.007009	15.7967	13.6104	20.57	20.05	17.96	42.96	21.04	6.5	3.273	354	2083	1.722	1.173	0	0	860.4459	0	0.824074	0.143519	137.249	87.575	3303.5	86.81	5.09E+04	-0.000397	0.010912	-0.171	-0.137	100	30.81	472	0.0081	0.056	0.123	0.128	6.41	-6.414	422	307	290	0.010345
QC_Shew_12_02_Run-06_20Jul12_Roc_12-03-30	0.001303	0.009987	23.7049	48.5975	21.67	22.26	16.81	20.17	22.4	4.643	3.864	685	4031	1.946	1.219	0	0	825.4157	0.034508	0.507549	0.100647	1.465	302.9	1256700	150.703	7.47E+06	0.003722	0.011157	1.942	1.943	4.853	110.2	819	0.1477	0.241	0.2519	0.3276	8.34	-8.345	2256	1706	1529	0.021583
QC_Shew_12_02_Run-06_21Aug12_Roc_12-04-09	0.001026	0.014879	23.869	40.848	19.86	20.98	15.44	16.54	20.96	6.448	4.159	867	2602	1.746	1.154	0	0	811.4308	0.026793	0.524633	0.123596	1.779	283.55	1029600	140.854	9.07E+06	0.001814	0.007996	0.961	0.969	4.68	114.9	792	0.2706	0.2972	0.3138	0.414	9.81	-9.809	1913	1586	1415	0.018375
QC_Shew_12_02_Run-06_23Aug12_Roc_12-03-30	0	0.008882	22.7141	29.8053	21.47	21.98	17.66	18.14	23.07	7.293	5.591	825	2477	1.716	1.158	0	0	787.6597	0.029919	0.409666	0.10817	1.812	221.1	905760	81.089	9.23E+06	0.004729	0.008495	2.664	2.664	3.581	102.4	950	0.0982	0.2147	0.2492	0.3166	8.68	-8.685	1328	1146	1044	0.019157
QC_Shew_12_02_Run-06_25Aug12_Roc_12-03-30	0	0	20.342	23.3507	21.46	22	10.82	15.45	22.02	7.798	6.462	739	2217	1.658	1.168	5	4	839.4697	0.048896	0.365931	0.082019	1.906	158.3	7.32E+05	43.366	7.61E+06	3.20E-02	0.034178	17.026	17.026	3.179	82.42	1389	0.0087	0.1673	0.2372	0.2711	7.49	-7.489	935	805	754	0.015915
QC_Shew_12_02_Run-06_28Aug12_Roc_12-03-30	0	0.0048	19.7907	15.8155	21.46	22	16.4	16.5	22.03	8.604	6.625	719	2158	1.788	1.19	0	0	665.435	0.007874	0.488189	0.120735	1.6475	218.3	1052700	118	1.32E+07	-0.000656	0.006809	-0.393	-0.375	2.405	107.5	1189	0.0489	0.0721	0.1043	0.177	7.1	-7.103	614	538	513	0.019493
QC_Shew_12_02_Run-06_28Jul12_Roc_12-03-30	0	0.010656	23.5153	37.9328	20.82	21.01	15.87	17.68	21.44	6.739	4.128	854	2563	1.882	1.206	0	0	782.4063	0.016129	0.615927	0.155242	2.095	332.85	935330	124.77	8935300	0.004299	0.0094	2.273	2.277	5.109	125	798	0.1815	0.3042	0.3193	0.3833	9.29	-9.293	1746	1431	1292	0.021672
QC_Shew_12_02_Run-06_30Aug12_Roc_12-03-30	0	0.011905	9.4437	13.4481	17.75	19.76	16.55	10.73	19.69	6.875	4	343	1030	1.946	1.238	10	9	638.574	0.005376	0.306452	0.043011	66.196	573.3	9.06E+05	348.658	1.77E+07	7.01E-04	0.006909	0.504	0.508	2.608	72.96	1176	0.0008	0.0033	0.04	0.1615	6.58	-6.576	248	204	196	0.020408
QC_Shew_12_02_Run-06_3Aug12_Roc_12-03-30	0.000559	0.009503	23.8637	37.5047	20.89	21.02	15.39	17.62	21.44	6.035	3.977	867	2602	1.875	1.22	4	4	805.881	0.026188	0.57517	0.126091	1.4125	263.85	1137900	143.925	9.93E+06	-0.015796	0.017416	-8.022	-8.02	3.779	115.7	821	0.1974	0.3111	0.2938	0.3819	9.28	-9.279	1756	1413	1261	0.017446
QC_Shew_12_02_Run-06_4Sep12_Roc_12-03-30	0.000504	0.010574	22.1852	44.8046	21.87	22.96	17.58	19.81	22.95	5.456	5	811	2436	1.749	1.18	0	0	825.86	0.025043	0.56304	0.119171	2.2	544.8	1901100	130.33	1.27E+07	0.006224	0.009258	3.165	3.167	6.011	119.4	872	0.2399	0.3195	0.3461	0.3815	9.92	-9.923	1946	1611	1434	0.019526
QC_Shew_12_02_Run-06_7Sep12_Andromeda_12-08-12	NULL	NULL	0	NULL	10.24	6.76	13.29	10.15	5.4	0	0	0	0	0	0	3	6	0	0	0	0	36.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.83	-5.827	0	0	0	0
QC_Shew_12_02_Run-06_8Jul12_Roc_12-03-30	0.001642	0.017652	23.8256	51.1635	21.97	22.25	17.27	22.17	21.77	4.8	3.881	678	3993	1.949	1.232	0	0	857.9072	0.042412	0.488403	0.076872	3.102	523.25	1021600	145.937	6232850	0.008329	0.012084	4.218	4.219	10.054	115.5	893	0.1258	0.2347	0.2879	0.3797	8.66	-8.663	2380	1783	1603	0.024953
