Filename	XIC_WideFrac	XIC_FWHM_Q1	XIC_FWHM_Q2	XIC_FWHM_Q3	XIC_Height_Q2	XIC_Height_Q3	XIC_Height_Q4	RT_Duration	RT_TIC_Q1	RT_TIC_Q2	RT_TIC_Q3	RT_TIC_Q4	RT_MS_Q1	RT_MS_Q2	RT_MS_Q3	RT_MS_Q4	RT_MSMS_Q1	RT_MSMS_Q2	RT_MSMS_Q3	RT_MSMS_Q4	MS1_TIC_Change_Q2	MS1_TIC_Change_Q3	MS1_TIC_Change_Q4	MS1_TIC_Q2	MS1_TIC_Q3	MS1_TIC_Q4	MS1_Count	MS1_Freq_Max	MS1_Density_Q1	MS1_Density_Q2	MS1_Density_Q3	MS2_Count	MS2_Freq_Max	MS2_Density_Q1	MS2_Density_Q2	MS2_Density_Q3	MS2_PrecZ_1	MS2_PrecZ_2	MS2_PrecZ_3	MS2_PrecZ_4	MS2_PrecZ_5	MS2_PrecZ_more	MS2_PrecZ_likely_1	MS2_PrecZ_likely_multi
QC_Shew_11_06_Run-07_28Mar12_Roc_12-03-17	0	0	0	0	NULL	NULL	NULL	3541.21	0.331085	0.154391	0.188627	0.325897	0.250319	0.249781	0.249781	0.250119	0	0	0	0	1.14938	0.747054	2.32057	0.535941	0.300495	0.311114	4408	1.24564	2103	2647	2943	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-08_10Apr12_Jaguar_12-02-27	0	0	0	0	NULL	NULL	NULL	3541.11	0.453298	0.143287	0.163012	0.240403	0.250904	0.249778	0.24962	0.249698	0	0	0	0	2.48322	0.98931	4.19647	6.29712	0.281082	0.496972	4405	1.24564	75	2627	2986	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-08_20Mar12_Roc_12-02-43	0	0	0	0	NULL	NULL	NULL	3540.85	0.346564	0.216368	0.140897	0.296171	0.250006	0.249999	0.24999	0.250005	0	0	0	0	0.806632	0.685613	2.65135	0.690569	0.463353	0.741601	4387	1.23897	86	160	230.5	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-09_10Apr12_Jaguar_12-02-26	0	0	0	0	NULL	NULL	NULL	3541.51	0.397315	1.63E-01	0.186569	0.253122	0.250757	0.249703	0.249703	0.249836	0	0	0	0	1.62275	0.876597	4.31669	1.30443	0.16258	0.625754	4407	1.24564	1879	2503	2896	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-09_25Mar12_Roc_12-03-15	0	0	0	0	NULL	NULL	NULL	3541.09	0.273388	0.203144	0.243501	0.279967	0.250433	0.249794	0.249792	0.249982	0	0	0	0	1.22059	0.832949	2.50966	0.457877	0.313535	0.825456	4408	1.24564	2265	2702	3010.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-09_27Mar12_Roc_12-03-15	0	0	0	0	NULL	NULL	NULL	3540.99	0.355384	0.181383	0.196345	0.266888	0.250353	0.249797	0.249797	0.250053	0	0	0	0	1.06857	0.706691	2.74601	0.41455	0.15091	0.393601	4408	1.24564	2440	2879.5	3115	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-09_28Mar12_Roc_12-03-15	0	0	0	0	NULL	NULL	NULL	3541.5	0.319109	0.160727	0.202665	0.317499	0.250363	0.249762	0.249761	0.250113	0	0	0	0	1.22157	0.764262	3.30407	0.403391	0.276853	0.470496	4408	1.24564	2158	2636	2915.25	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-1_12Apr12_Jaguar_12-02-26	0	0	0	0	NULL	NULL	NULL	3541.5	0.323067	0.170928	0.195864	0.310141	0.250581	0.249648	0.249648	0.250124	0	0	0	0	1.37081	0.908298	2.05699	1.66889	0.258084	0.753171	4406	1.24564	2018.25	2535.5	2966.75	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-10_22Mar12_Roc_12-02-41	0	0	0	0	NULL	NULL	NULL	3540.9	0.297484	0.176172	0.211316	0.315028	0.250267	0.249804	0.249804	0.250126	0	0	0	0	1.0383	0.709987	3.44967	0.258813	0.169973	0.337667	4408	1.24564	2156.75	2730	3027	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
QC_Shew_11_06_Run-10_25Mar12_Roc_12-03-16	0	0	0	0	NULL	NULL	NULL	3540.74	0.67457	0.102052	0.0687026	0.154676	0.250538	0.25054	0.249524	0.249398	0	0	0	0	1.10152	5.46815	3.1215	0.334218	7.02851	1.2348	4396	1.24564	30	41	3000	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
