Filename	C_1A	C_1B	C_2A	C_2B	C_3A	C_3B	C_4A	C_4B	C_4C	DS_1A	DS_1B	DS_2A	DS_2B	DS_3A	DS_3B	IS_1A	IS_1B	IS_2	IS_3A	IS_3B	IS_3C	MS1_1	MS1_2A	MS1_2B	MS1_3A	MS1_3B	MS1_5A	MS1_5B	MS1_5C	MS1_5D	MS2_1	MS2_2	MS2_3	MS2_4A	MS2_4B	MS2_4C	MS2_4D	P_1A	P_1B	P_2A	P_2B	P_2C	P_3
QC_Shew_12_02_1_25Jul12_Cougar_12-05-07	0	0.001514	32.8362	70.3796	16.02	17.19	12.02	13.08	17.4	5.209	5.657	1231	7382	2.099	1.278	0	0	896.4691	0.059253	0.329383	0.014281	3.2035	1114	552800	606.615	1727700	0.022904	0.026235	11.99	11.99	6.35	33.765	301	0.1716	0.213	0.2756	0.3512	8.89	-8.893	4472	4041	3476	0.03855
QC_Shew_12_02_1_26Aug12_Cougar_12-06-10	0.006957	0.004174	16.2177	66.5322	14.82	15.05	9.81	32.07	16.92	4.586	3.557	608	3652	1.763	1.182	0	0	743.9148	0.137793	0.264883	0.038127	0.484	1033.5	2155450	145.029	1.38E+07	-0.005271	0.008956	-3.456	-3.455	0.927	160.9	621	0.08	0.1937	0.2789	0.3838	8.67	-8.673	2076	1743	1452	0.043388
QC_Shew_12_02_1_27Aug12_Cougar_12-06-10	0.00243	0.013043	33.1692	117.8503	14.78	15.13	9.75	11.73	14.86	3.835	5.79	1244	7463	1.801	1.174	0	0	853.9579	0.049988	0.666747	0.14779	0.9515	1163	820690	1247.761	2523550	5.28E-03	0.010852	2.552	2.554	4.098	160.9	812	0.2337	0.3334	0.4472	0.548	10.52	-10.519	7496	6194	5080	0.054331
QC_Shew_12_02_1_29Sep12_Cougar_12-06-10	0.002399	0.013597	32.1561	136.0551	15.48	15.83	12.44	14.15	16.04	3.746	3.573	1051	10514	1.622	1.132	2	0	922.6563	0.113256	0.593213	0.131919	0.64	676.1	1549050	455.149	3633100	0.004314	0.012643	2.138	2.138	4.17	123.55	796	0.2347	0.2851	0.3441	0.4496	9.63	-9.629	8429	6619	5381	0.052592
QC_Shew_12_02_1_3Aug12_Cougar_12-06-10	0.001958	0.01049	32.6447	109.543	14.96	16.01	11.53	12.64	16.91	4.185	5.022	1224	7349	1.733	1.169	0	0	855.9114	0.059836	0.694809	0.171038	0.581	935	2220600	621.258	8198600	0.005047	0.01027	2.486	2.487	1.547	112.25	648	0.1834	0.3132	0.4227	0.5245	10.12	-10.118	6872	5835	4781	0.048735
QC_Shew_12_02_1_6Aug12_Cougar_12-06-10	0.001697	0.0099	32.4012	109.1626	14.85	16	10.97	12.06	16.07	3.826	4.791	1215	7294	1.694	1.164	0	0	867.1626	0.081023	0.638223	0.157201	0.49	906.15	2710200	735.552	9975000	0.002872	0.009275	1.357	1.357	1.261	106.3	611	0.1818	0.3257	0.4157	0.5036	10.04	-10.038	6801	5778	4616	0.04896
QC_Shew_12_02_1_7Jan13_Cougar_12-12-01	0.001514	0.01153	31.6509	134.3722	12.88	12.95	9.35	14.07	12.68	3.87	3.916	1030	10306	1.67	1.15	0	0	888.9419	0.11837	0.643524	0.169133	0.8125	824.35	1138750	299.747	2895400	0.002519	0.012157	1.223	1.223	4.757	135.9	841	0.1852	0.2688	0.3438	0.4404	9.36	-9.355	8275	6721	5460	0.036813
QC_Shew_12_02_1_7Sep12_Cougar_12-06-10	0.003509	0.009358	34.8682	110.3298	14.61	15.95	8.69	10.98	15.12	4.151	4.379	1308	7848	1.743	1.165	0	0	863.9254	0.069934	0.638759	0.161783	0.311	1007	2493250	370.537	8652300	0.005679	0.010497	2.732	2.733	1.403	147.5	714	0.2133	0.3426	0.4385	0.5062	10.3	-10.298	7514	6283	5138	0.027832
QC_Shew_12_02_1a_26Aug12_Cougar_12-06-10	0.003431	0.017977	35.1976	103.5014	15.05	16.95	11.39	11.98	15.07	3.578	4.392	1320	7923	1.685	1.167	0	0	866.4366	0.073604	0.61066	0.143655	0.427	893.6	3407700	951.518	1.02E+07	-3.94E-03	0.009851	-1.926	-1.925	1.018	106.2	631	0.2164	0.3013	0.4045	0.4774	9.99	-9.989	7060	5532	4457	0.038815
QC_Shew_12_02_2_14Sep12_Cougar_12-06-11	0.001981	0.009164	33.3211	121.1845	15.27	15.62	11.52	16.02	14.97	3.68	4.243	1014	10134	1.65	1.137	1	1	884.9404	0.11393	0.614282	0.143293	0.438	630.2	2654100	315.872	7554900	0.005982	0.012506	2.995	2.996	2.21	118.4	722	0.1886	0.2726	0.3207	0.4142	9.12	-9.121	7761	6289	5114	0.052405
QC_Shew_12_02_2_20Sep12_Cougar_12-06-11	0.002685	0.013057	32.05	127.8939	14.3	14.72	8.9	13.98	14.3	4.155	3.825	972	9717	1.666	1.142	3	2	892.5108	0.094835	0.580588	0.128005	0.63	700.7	1567300	328.887	4614100	0.004124	0.011531	2	2.001	3.285	126.7	742	0.1677	0.2649	0.3608	0.4436	9.29	-9.287	7893	6370	5208	0.050691
QC_Shew_12_02_2_22Jul12_Cougar_12-02-39	0.000394	0.000394	23.1426	54.8339	18.35	18.95	13.68	18.24	18.61	8.145	7.548	646	6456	1.87	1.226	21	25	892.9807	0.110387	0.070796	0	8.435	808.2	184470	77.767	670155	0.002656	0.007824	1.574	1.576	29.141	34.61	256	0.0958	0.1409	0.1735	0.2358	7.57	-7.567	2439	2265	2094	0.044413
QC_Shew_12_02_2_24Aug12_Cougar_12-06-11	0.001152	0.001152	25.6732	101.4677	14.5	14.11	11.09	19.56	13.95	5.209	5.752	697	6973	1.65	1.139	1	1	817.4434	0.03072	0.657839	0.137006	9.2835	583.5	117290	99.55	441359	0.005492	0.012601	2.808	2.812	32.97	120.95	740	0.0698	0.2062	0.2963	0.3971	7.82	-7.818	4994	4635	3992	0.048597
QC_Shew_12_02_2_26Aug12_Cougar_12-06-11	0.002472	0.014829	34.7996	104.6564	14.53	16.88	8.66	11.98	17.39	3.562	4.009	1305	7833	1.704	1.16	1	1	871.1371	0.067322	0.606909	0.142713	0.465	857.4	3186450	1314.116	1.04E+07	-0.004378	0.009476	-2.121	-2.119	1.034	103.8	634	0.2069	0.2913	0.4062	0.4967	10.02	-10.015	7022	5516	4457	0.045098
QC_Shew_12_02_2_27Aug12_Cougar_12-06-11	0.001995	0.011221	33.3623	120.2255	14	14.31	9.25	12.19	14.22	4.168	4.505	1251	7508	1.748	1.164	0	0	856.2515	0.054592	0.648313	0.153233	1.039	1152	770740	1531.009	2424400	0.005219	0.010623	2.483	2.485	4.244	169.3	819	0.235	0.3518	0.4593	0.5586	10.64	-10.64	7705	6402	5226	0.053004
QC_Shew_12_02_2_29Sep12_Cougar_12-06-11	0.002277	0.012038	33.2172	138.8136	14.01	15	9.11	13.04	14.29	3.797	3.606	1088	10874	1.646	1.148	0	0	910.9978	0.114292	0.608404	0.128502	0.728	695.9	1257100	415.352	3142100	0.004079	0.012326	2.012	2.013	4.9	123.1	779	0.2047	0.2776	0.3522	0.4607	9.53	-9.529	8860	7043	5683	0.051733
QC_Shew_12_02_2_2Aug12_Cougar_12-06-11	0.001457	0.009273	34.2266	110.2651	14.51	14.84	10.09	11.92	14.79	3.8	4.504	1284	7703	1.675	1.157	0	0	856.9681	0.079131	0.672614	0.174295	0.367	824.6	3195000	590.877	1.26E+07	0.003731	0.009785	1.815	1.816	1.02	118.1	625	0.1951	0.3322	0.4277	0.5153	10.17	-10.175	7254	6289	5010	0.048703
QC_Shew_12_02_2_5FL_500ng_Polaroid_31Oct12_12-02-32	0.004711	0.015505	74.9386	67.989	31.54	37.93	29.8	21.38	42.47	3.407	2.84	2037	20377	1.761	1.203	0	0	800.399	0.024886	0.484958	0.084895	0.939	550.8	5.46E+05	162.554	2.08E+06	-2.18E-03	0.014638	-1.193	-1.193	9.405	131.9	841	0.1137	0.1783	0.239	0.3623	8.03	-8.032	9737	6529	5516	0.06599
QC_Shew_12_02_2_7Sep12_Cougar_12-06-11	0.001786	0.009315	34.6383	113.1407	13.96	14.3	7.9	11.32	13.99	3.855	4.294	1299	7798	1.736	1.154	0	0	862.1031	0.075547	0.678678	0.165755	0.342	965.9	2219600	445.609	8273700	0.005059	0.010427	2.434	2.436	1.489	152.7	717	0.2319	0.3477	0.4443	0.5033	10.45	-10.449	7636	6376	5167	0.029998
QC_Shew_12_02_250_b_21Jul12_Polaroid_12-20-10	0.000849	0.005851	63.9531	82.8263	16.56	17.3	15.15	11.96	18.76	5.256	6.132	1063	10635	1.671	1.106	29	25	725.3921	0	1.164633	0.24292	2.8735	656.1	257680	111.302	1241900	-0.002076	0.010323	-1.08	-1.08	67.881	42.47	1825	0.2937	0.4051	0.4704	0.577	10.85	-10.851	10061	8709	7721	0.062686
QC_Shew_12_02_26Oct12_Lynx_12-06-01	0.000201	0.006842	41.1198	60.3845	24.37	25.9	12.15	15.09	25.71	2.739	5.357	589	5894	1.432	1.093	0	0	830.4165	0.20829	0.4038	0.093264	0.402	352.65	1687600	39.179	1.18E+07	-0.009951	0.011933	-5.605	-5.605	1.454	246.8	1026	0.3491	0.3416	0.3593	0.4073	10.1	-10.096	4729	4158	3139	0.063396
QC_Shew_12_02_2p5_1_19Jul12_Sam_12-05-13	0.000804	0.00201	34.0977	36.4834	10.68	12.16	34.36	5.24	11.56	6.315	5.353	1054	10540	1.494	1.071	1	6	929.4945	0.077377	0.465574	0.081967	0.304	434.8	1305350	103.105	5878350	0.002759	0.013125	1.364	1.368	2.022	116.95	483	0.0112	0.0829	0.1134	0.2072	6.46	-6.464	2418	2238	1999	0.030515
